iter	Passed	Remaining
667	44887	223898
668	44958	223853
669	45029	223804
670	45100	223754
671	45166	223681
672	45235	223625
673	45303	223558
674	45372	223501
675	45443	223452
676	45516	223412
677	45586	223358
678	45651	223284
679	45716	223203
680	45782	223132
681	45847	223052
682	45913	222981
683	45985	222936
684	46059	222901
685	46129	222847
686	46196	222779
687	46270	222742
688	46335	222666
689	46405	222612
690	46477	222567
691	46549	222524
692	46623	222485
693	46694	222435
694	46760	222362
695	46825	222288
696	46894	222227
697	46964	222175
698	47036	222129
699	47108	222082
700	47177	222025
701	47247	221968
702	47317	221915
703	47388	221866
704	47460	221820
705	47533	221778
706	47604	221725
707	47676	221682
708	47747	221633
709	47822	221600
710	47893	221549
711	47964	221500
712	48036	221450
713	48101	221373
714	48171	221321
715	48243	221273
716	48315	221225
717	48387	221180
718	48461	221141
719	48532	221094
720	48598	221020
721	48671	220974
722	48741	220922
723	48812	220871
724	48877	220793
725	48942	220711
726	49006	220629
727	49073	220559
728	49144	220509
729	49218	220471
730	49289	220421
731	49362	220380
732	49436	220341
733	49507	220286
734	49577	220232
735	49647	220175
736	49716	220114
737	49784	220048
738	49849	219970
739	49913	219887
740	49980	219821
741	50052	219772
742	50123	219720
743	50192	219659
744	50263	219607
745	50334	219557
746	50406	219505
747	50472	219433
748	50537	219356
749	50607	219300
750	50676	219238
751	50747	219183
752	50817	219129
753	50890	219084
754	50959	219023
755	51029	218966
756	51099	218912
757	51168	218848
758	51238	218791
759	51307	218732
760	51375	218668
761	51448	218623
762	51523	218587
763	51593	218531
764	51668	218492
765	51738	218436
766	51803	218358
767	51875	218307
768	51947	218262
769	52017	218201
770	52083	218130
771	52150	218061
772	52214	217976
773	52278	217896
774	52350	217845
775	52423	217801
776	52496	217755
777	52566	217697
778	52634	217631
779	52702	217566
780	52772	217507
781	52841	217446
782	52910	217387
783	52977	217314
784	53045	217248
785	53117	217199
786	53187	217141
787	53255	217078
788	53321	217002
789	53388	216931
790	53462	216890
791	53529	216822
792	53603	216779
793	53672	216719
794	53744	216670
795	53815	216612
796	53884	216553
797	53953	216492
798	54024	216434
799	54092	216368
800	54164	216320
801	54238	216278
802	54309	216223
803	54384	216185
804	54455	216132
805	54528	216082
806	54600	216034
807	54672	215984
808	54737	215907
809	54808	215848
810	54879	215794
811	54951	215744
812	55023	215694
813	55091	215627
814	55157	215555
815	55220	215469
816	55285	215388
817	55348	215306
818	55414	215228
819	55484	215171
820	55555	215116
821	55625	215059
822	55695	215000
823	55761	214925
824	55833	214875
825	55904	214821
826	55977	214773
827	56042	214693
828	56107	214617
829	56173	214542
830	56248	214500
831	56314	214429
832	56386	214376
833	56459	214330
834	56524	214251
835	56592	214184
836	56659	214114
837	56728	214052
838	56800	214001
839	56872	213948
840	56944	213896
841	57009	213818
842	57078	213757
843	57148	213698
844	57215	213625
845	57285	213569
846	57356	213511
847	57431	213470
848	57501	213411
849	57572	213355
850	57644	213306
851	57713	213243
852	57785	213189
853	57857	213139
854	57929	213087
855	57998	213021
856	58061	212937
857	58126	212860
858	58188	212771
859	58257	212707
860	58327	212648
861	58399	212597
862	58465	212519
863	58529	212441
864	58592	212356
865	58657	212277
866	58721	212197
867	58795	212151
868	58864	212089
869	58929	212011
870	58995	211937
871	59066	211881
872	59140	211834
873	59209	211773
874	59280	211714
875	59345	211639
876	59416	211582
877	59481	211506
878	59552	211448
879	59620	211382
880	59693	211333
881	59767	211285
882	59838	211231
883	59907	211166
884	59975	211099
885	60044	211036
886	60115	210980
887	60189	210934
888	60261	210879
889	60325	210801
890	60389	210719
891	60456	210649
892	60524	210581
893	60589	210504
894	60657	210435
895	60726	210373
896	60797	210316
897	60867	210258
898	60934	210185
899	61005	210128
